nba_id,Player,Season,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
201166,Aaron Brooks,2014,HOU/DEN,PG,21.627,-1.2588704294167457,-0.0110771993788595,-1.247793230037886,1.067262792760434,Shot Creator,Point of Attack
1733,Al Harrington,2014,WAS,PF,15.039,-1.6689011073852562,-0.8271378900679052,-0.8417632173173509,0.2088445589509665,Movement Shooter,Mobile Big
201143,Al Horford,2014,ATL,C,33.028,1.2240236764868724,-0.4655589423842737,1.6895826188711462,2.2741340401965027,Post Scorer,Anchor Big
2744,Al Jefferson,2014,CHO,C,34.977,1.7124312934577666,0.7647960388496823,0.9476352546080844,6.904771563782521,Post Scorer,Anchor Big
202329,Al-Farouq Aminu,2014,NOP,SF,25.567,-0.3180963406001734,-0.4413712350058816,0.1232748944057084,2.70979742740089,Shot Creator,Helper
101187,Alan Anderson,2014,BRK,SF,22.723,-2.3448125102017103,-1.269445234628822,-1.0753672755728887,-0.0788002428559707,Shot Creator,Wing Stopper
202692,Alec Burks,2014,UTA,SG,28.117,-1.7787996096665644,-0.1889845291191252,-1.5898150805474391,0.7334942793450435,Secondary Ball Handler,Chaser
203144,Alexey Shved,2014,MIN,SG,10.539,-0.7761213119016575,-0.4770364483093664,-0.2990848635922909,0.6725812804928801,Secondary Ball Handler,Chaser
201582,Alexis Ajinca,2014,NOP,C,16.973,-1.7603570131698671,-2.053276847517453,0.292919834347586,0.3296897030719976,Roll + Cut Big,Anchor Big
202087,Alonzo Gee,2014,CLE,SF,15.685,-2.1107161200464093,-2.300656268533846,0.1899401484874361,0.1139822029320425,Athletic Finisher,Wing Stopper
2405,Amar'E Stoudemire,2014,NYK,C,22.557,-2.565242680873545,-0.727684502836226,-1.83755817803732,-0.2799531009099512,Post Scorer,Anchor Big
101161,Amir Johnson,2014,TOR,PF,28.753,0.4949130243601118,-0.8056879830628287,1.3006010074229406,4.159970904154468,Roll + Cut Big,Mobile Big
2760,Anderson Varejao,2014,CLE,C,27.696,1.6506313176759622,-0.4480059481198585,2.098637265795821,4.793376112772523,Roll + Cut Big,Mobile Big
101154,Andray Blatche,2014,BRK,PF,22.166,-0.6498120554494438,-0.0545937529329313,-0.595218302516512,1.7782403762409402,Shot Creator,Anchor Big
203083,Andre Drummond,2014,DET,C,32.338,2.128882239382513,0.75231643679391,1.3765658025886025,7.815419297141978,Roll + Cut Big,Anchor Big
2738,Andre Iguodala,2014,GSW,SF,32.377,2.221608793088439,0.3297149545550513,1.891893838533388,6.212348313000362,Shot Creator,Wing Stopper
1889,Andre Miller,2014,DEN/WAS,SG,16.925,-0.1662330884125441,-0.0876474358509001,-0.0785856525616435,1.4021611493469524,Shot Creator,Chaser
200745,Andrea Bargnani,2014,NYK,C,29.935,-0.7714419694514345,-0.9512545430427628,0.1798125735913283,1.2776264743789525,Athletic Finisher,Helper
1905,Andrei Kirilenko,2014,BRK,PF,19.051,-0.6526204074408137,-0.5431086671832391,-0.1095117402575744,0.9404693749116588,Roll + Cut Big,Helper
101106,Andrew Bogut,2014,GSW,C,26.412,2.242212291584542,-1.22801942364868,3.470231715233222,5.41400516635952,Roll + Cut Big,Anchor Big
101115,Andrew Bynum,2014,CLE/IND,C,19.828,-1.443569690683592,-1.709903371533931,0.2663336808503386,0.2889389407713755,Post Scorer,Anchor Big
203094,Andrew Nicholson,2014,ORL,PF,15.441,-2.954937594093377,-2.961788151049181,0.0068505569558041,-0.5259157801720454,Post Scorer,Anchor Big
1712,Antawn Jamison,2014,LAC,PF,11.249,-1.1657387555855527,-1.196133148279839,0.0303943926942863,0.1852401460520467,Stretch Big,Helper
203461,Anthony Bennett,2014,CLE,PF,12.743,-1.851718684737228,-1.680482827013371,-0.1712358577238568,0.1891336536385303,Athletic Finisher,Helper
203076,Anthony Davis,2014,NOP,PF,35.195,3.545931732513996,1.8037474752320013,1.742184257281994,9.23574168900554,Post Scorer,Mobile Big
201627,Anthony Morrow,2014,NOP,SG,18.757,-1.2287532271185644,0.1760805489417257,-1.4048337760602905,1.006163389801528,Off Screen Shooter,Low Activity
201576,Anthony Randolph,2014,DEN,PF,12.254,-1.01542595375198,-1.6003716142328397,0.5849456604808598,0.4481149891475699,Movement Shooter,Helper
201229,Anthony Tolliver,2014,CHO,PF,20.283,-0.7566532133705703,-0.3837741929283618,-0.3728790204422086,1.332193113496805,Movement Shooter,Helper
203462,Archie Goodwin,2014,PHO,SG,10.246,-3.245884447696854,-2.0382985398266085,-1.2075859078702458,-0.3402305636169531,Secondary Ball Handler,Chaser
201167,Arron Afflalo,2014,ORL,SG,34.964,-1.4996065398801246,-0.0958969962582283,-1.4037095436218965,1.3339145935020955,Shot Creator,Chaser
203085,Austin Rivers,2014,NOP,PG,19.398,-1.0093534205795494,0.3533840859430487,-1.362737506522598,1.1438124709921995,Shot Creator,Point of Attack
202340,Avery Bradley,2014,BOS,SG,30.92,-1.4886092292038406,-0.9720932827543342,-0.5165159464495059,0.983341771334378,Secondary Ball Handler,Wing Stopper
2732,Ben Gordon,2014,CHO,SG,14.668,-1.2566346551689909,-0.9323480688755152,-0.3242865862934758,0.1914435584777345,Off Screen Shooter,Chaser
203463,Ben Mclemore,2014,SAC,SG,26.669,-2.4706345112924826,-1.7622709129588348,-0.7083635983336477,-0.280243619729456,Off Screen Shooter,Chaser
2757,Beno Udrih,2014,NYK/MEM,SG,15.682,-1.6347286928976397,-0.9883141048581146,-0.6464145880395252,0.2774133786962832,Primary Ball Handler,Point of Attack
202687,Bismack Biyombo,2014,CHO,C,13.928,-0.2622930307387923,-2.558497544575804,2.296204513837011,1.4615926196677334,Roll + Cut Big,Anchor Big
201933,Blake Griffin,2014,LAC,PF,35.796,2.871289372903711,2.3210447832800605,0.5502445896236506,9.955374904624398,Post Scorer,Mobile Big
2564,Boris Diaw,2014,SAS,PF,24.989,0.0931968089168174,-0.53148862272255,0.6246854316393676,3.1688244270571,Post Scorer,Helper
203078,Bradley Beal,2014,WAS,SG,34.658,-0.7586732895353492,-0.1846462691451998,-0.5740270203901493,2.5930061270644016,Secondary Ball Handler,Chaser
201148,Brandan Wright,2014,DAL,C,18.575,0.7843391445934433,1.1110606463068933,-0.3267215017134499,2.236466255713756,Roll + Cut Big,Helper
101138,Brandon Bass,2014,BOS,PF,27.641,-1.870778969338899,-1.7196302669464332,-0.1511487023924654,0.6179312327418807,Post Scorer,Helper
203561,Brandon Davies,2014,PHI,PF,11.27,-1.631516154541428,-2.313008805682247,0.6814926511408194,0.2492252492409611,Post Scorer,Helper
201943,Brandon Jennings,2014,DET,PG,34.102,-0.0823320215225649,1.5105167738129055,-1.5928487953354702,4.052776581351221,Shot Creator,Point of Attack
202688,Brandon Knight,2014,MIL,PG,33.335,-0.5212340955417196,1.231221831861928,-1.752455927403648,2.847707433358422,Primary Ball Handler,Point of Attack
201575,Brandon Rush,2014,UTA,SG,10.998,-2.797680167848978,-2.131230689346912,-0.6664494785020663,-0.1440263610920769,Movement Shooter,Low Activity
203148,Brian Roberts,2014,NOP,PG,23.151,-2.6736159517866804,-0.6624649300929435,-2.011151021693737,-0.4378718693182484,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2014,BRK,C,31.379,1.294834363613149,0.8933879194558492,0.4014464441573002,1.2921645309511054,Post Scorer,Anchor Big
201228,C.J. Watson,2014,IND,PG,18.937,0.3637412569008661,-0.2597874310228348,0.6235286879237011,2.134978433128466,Primary Ball Handler,Point of Attack
203468,Cj Mccollum,2014,POR,SG,12.518,-2.55927467317428,-1.4303358444496408,-1.1289388287246398,-0.0889386200352203,Shot Creator,Chaser
101139,Cj Miles,2014,CLE,SG,19.296,0.5622951136567753,0.3495330492217446,0.2127620644350308,1.8942150083583893,Off Screen Shooter,Chaser
201171,Carl Landry,2014,SAC,PF,12.941,-2.563312389742345,-2.059142511832091,-0.5041698779102544,-0.0441766946091167,Post Scorer,Anchor Big
2430,Carlos Boozer,2014,CHI,PF,28.175,-1.1363925088187203,-2.575510168599584,1.439117659780863,1.6453378846211792,Post Scorer,Anchor Big
2546,Carmelo Anthony,2014,NYK,PF,38.726,1.3975627806757045,2.760210555414624,-1.3626477747389196,7.430297519199498,Shot Creator,Helper
2406,Caron Butler,2014,MIL/OKC,SF,25.34,-1.5384607952626477,-0.8012255701981693,-0.7372352250644784,0.704389030573604,Shot Creator,Helper
201858,Cartier Martin,2014,ATL/CHI,SF,14.741,-0.9358556041692536,-0.937151793054533,0.0012961888852794,0.7866497175146182,Off Screen Shooter,Chaser
202718,Chandler Parsons,2014,HOU,SF,37.603,-0.0217356184403713,0.7651382473478431,-0.7868738657882142,4.248610525405043,Movement Shooter,Chaser
101112,Channing Frye,2014,PHO,PF,28.2,1.9729281329540804,0.652359275165989,1.3205688577880914,6.658083749077233,Versatile Big,Anchor Big
201978,Chase Budinger,2014,MIN,SF,18.31,-2.6098226669449707,-0.6410225648830008,-1.96880010206197,-0.1655094633077341,Off Screen Shooter,Chaser
1497,Chauncey Billups,2014,DET,SG,16.289,-1.5755479925933116,-0.9282529680314632,-0.6472950245618484,0.1458790016256406,Shot Creator,Chaser
2365,Chris Andersen,2014,MIA,C,19.39,0.893571713536184,-0.1644380515934601,1.0580097651296445,3.001700161507321,Roll + Cut Big,Helper
2547,Chris Bosh,2014,MIA,C,32.043,2.3688821706853367,1.0052774150608297,1.363604755624507,7.958264072265874,Athletic Finisher,Mobile Big
201604,Chris Douglas-Roberts,2014,CHO,SF,20.724,-0.7844366763145338,-0.6032405723740517,-0.1811961039404819,1.022985551960579,Movement Shooter,Chaser
203187,Chris Johnson,2014,BOS,SF,19.727,-1.172378150098364,-0.7767203615371097,-0.3956577885612543,0.587074465176214,Movement Shooter,Chaser
2549,Chris Kaman,2014,LAL,C,18.871,-1.7970357558719188,-2.227228861749623,0.4301931058777044,0.2371256489286153,Post Scorer,Anchor Big
